Node_ID,Full_degree
36868,48
40967,46
4107,47
38924,11
36883,46
34840,18
40985,1
8223,73
32801,137
22562,174
32806,42
6183,32
30761,8
22571,32
18498,35
36930,41
8261,26
6215,117
8268,70
14413,32
36940,32
8271,39
14415,23
6228,3878
34900,18
8280,46
2140,72
2141,57
41055,26
8297,101
34934,141
39030,18
6267,42
24699,29
20610,95
32900,48
30853,79
39044,44
34959,32
24722,35
32924,95
157,110
26781,76
163,46
24747,47
22710,48
16570,52
16571,132
35004,68
37052,88
26831,31
6367,37
32999,30
18667,31
43243,10
8429,27
14574,0
18674,76
30963,31
33011,19
26870,43
30969,23
18683,30
35067,25
35068,29
33032,53
43278,40
33043,225
35095,22
6424,41
6425,52
12570,118
14619,32
22810,164
14624,116
35107,43
43300,43
35110,7
18729,108
8496,85
2355,55
35127,51
22840,31
2361,55
18745,80
39228,129
12606,50
4419,68
43332,402
4423,77
14663,159
22861,56
2393,34
14686,14
37217,107
14690,56
39270,472
35187,28
20854,40
33143,54
16765,55
2431,618
6538,29
33164,66
22926,134
4495,26
37272,33
41368,224
37274,18
37276,75
35229,53
8607,3
39332,10
29093,493
39339,47
8624,62
451,47
22981,61
2504,353
16842,33
6606,37
10703,15
20943,92
39374,57
468,34
14814,32
4592,98
29183,35
37376,34
16899,52
37379,37
41475,37
16903,29
6667,55
4624,34
18962,15
27161,225
35361,134
25123,60
14885,34
23078,17
39472,20
21042,148
29237,61
8760,84
25146,33
25147,8
21053,28
31297,33
33358,119
2642,23
16978,114
37460,53
37463,100
6748,14
19037,77
25180,83
41567,35
25185,64
16996,92
12917,46
8824,179
8829,12
8830,68
25219,57
21128,19
29323,214
21137,70
37521,58
4757,244
4760,20
23194,34
27294,18
33445,19
33446,59
33447,57
12971,12
33456,45
39605,225
8888,74
31423,94
17091,83
8912,66
33492,31
4821,60
23259,147
19166,52
41701,7
25321,39
4848,72
35584,221
39684,56
35591,76
13066,61
13067,22
17172,94
15127,55
27417,30
33568,44
19234,25
15140,38
27428,39
23359,71
27460,80
35652,36
35664,43
2901,74
854,151
23381,16
13157,10
41832,91
2921,166
2928,87
13171,60
2932,14
2944,36
13192,66
29577,119
35724,127
41871,68
9110,30
17303,1
19353,271
19355,91
9118,51
35743,30
928,56
9120,32
19373,56
13231,61
21424,30
7089,43
13236,136
35768,187
31676,29
13247,29
35776,32
35780,54
23497,17
37845,70
986,16
27616,27
35825,16
19448,52
23551,20
23554,52
41990,18
7190,93
17433,28
17435,77
35867,29
33822,78
23585,20
39975,39
39979,7
42042,36
35899,37
1086,58
25667,130
9287,90
25673,37
33867,16
7246,227
13399,98
40027,58
1119,52
11361,39
25713,41
7285,53
1142,69
1143,34
40058,40
1150,32
23684,51
5255,49
23696,72
33936,40
3219,103
21655,124
19618,35
29859,63
23716,24
23729,33
33970,17
33972,32
5302,58
11450,192
25788,60
13501,28
7358,147
33984,23
40131,17
3279,60
29903,40
19672,165
25831,44
11498,48
23789,61
13550,55
25855,368
40192,61
9479,8
1288,0
5385,73
1290,100
32010,109
21775,31
36113,70
38175,158
9514,29
19758,38
38202,34
17723,42
19783,114
7504,86
42320,64
27986,20
25952,23
36194,17
42345,154
19818,158
34156,30
42348,173
42351,63
3444,13
11641,52
42365,12
38270,27
1407,29
23946,25
25994,4535
38285,44
32148,33
17813,54
9622,21
11671,76
1432,14
19865,184
30105,38
11675,45
30106,44
32157,39
40352,19
28066,213
17831,125
21932,62
42412,43
40370,75
26036,300
32181,33
30138,131
38333,44
40382,11
11711,83
5571,78
40387,41
24006,84
7625,98
32207,79
3537,74
32210,80
15843,101
3556,97
28132,11
36326,41
40424,27
13801,73
1516,52
3566,31
9714,54
38387,41
40437,17
11767,20
38395,23
24060,19
38400,0
42499,34
26122,51
32266,71
34318,43
24083,29
42515,53
40479,39
3624,137
26152,64
11818,11
30249,92
36392,112
26157,80
3640,68
17978,26
9787,44
32321,4
20035,32
20041,23
20042,17
40524,65
20046,0
24148,72
28247,477
1629,144
42594,0
9828,87
15975,20
7797,12
36473,17
28282,35
9858,66
13965,39
3729,64
5778,22
34449,43
28314,29
1691,39
34460,96
40607,17
11938,201
34472,103
38574,33
14001,100
36534,26
40630,36
32440,34
24250,27
24251,83
9917,107
30398,69
18113,40
18118,33
22231,52
28376,38
26329,52
28377,446
5854,191
42718,14
40673,2
18147,18
5867,8763
34558,104
40703,32
24322,39
42755,49
24324,54
9992,82
40712,18
42766,48
22287,28
40721,63
5912,169
36638,18
16160,51
26405,33
1830,1757
1835,119
34607,40
38704,8
20275,113
40763,67
3908,169
5957,17
34644,16
36695,45
38744,11
8030,33
1891,7564
34667,92
12143,28
10098,39
18298,78
8065,42
1922,39
30602,20
40842,94
6028,24
10130,13
20372,672
3991,131
4000,114
34722,27
24484,59
6053,165
22442,27
32683,12
12206,119
32689,22
6067,182
10172,78
30656,73
14281,28
8148,49
40924,56
2013,66
10212,49
4076,61
30702,35
4083,57
30710,179
2040,56
6137,36
43007,143
