Node_ID,Music,Movies,Politics
16,0.99,0.36,0.01
18,0.54,0.99,0.01
31,0.98,0.72,0.01
62,0.99,0.99,0.01
26,0.01,0.01,0.01
27,0.99,0.99,0.01
40,0.01,0.01,0.01
29,0.99,0.92,0.01
43,0.99,0.99,0.01
106,0.74,0.99,0.01
94,0.01,0.01,0.01
107,0.99,0.99,0.01
83,0.74,0.24,0.01
111,0.98,0.99,0.01
100,0.99,0.99,0.01
87,0.01,0.01,0.01
101,0.56,0.6,0.99
168,0.01,0.01,0.01
114,0.01,0.01,0.01
141,0.99,0.99,0.01
142,0.01,0.99,0.01
172,0.58,0.6,0.01
173,0.01,0.01,0.01
144,0.2,0.99,0.01
73,0.01,0.01,0.01
241,0.78,0.99,0.01
153,0.99,0.01,0.01
155,0.18,0.01,0.01
279,0.99,0.99,0.01
263,0.99,0.99,0.01
302,0.99,0.62,0.01
305,0.99,0.01,0.01
189,0.01,0.01,0.01
203,0.01,0.01,0.01
208,0.99,0.99,0.01
157,0.01,0.01,0.01
158,0.99,0.99,0.01
378,0.99,0.99,0.01
392,0.76,0.99,0.01
164,0.6,0.99,0.01
310,0.99,0.99,0.01
451,0.08,0.99,0.01
254,0.01,0.01,0.01
456,0.01,0.01,0.01
496,0.24,0.98,0.01
483,0.46,0.74,0.01
515,0.01,0.01,0.01
450,0.68,0.99,0.01
497,0.01,0.01,0.01
526,0.78,0.99,0.01
487,0.42,0.54,0.01
503,0.56,0.9,0.01
505,0.48,0.99,0.01
538,0.01,0.01,0.01
542,0.01,0.01,0.01
571,0.9,0.99,0.01
558,0.01,0.01,0.01
419,0.86,0.99,0.01
544,0.99,0.28,0.01
430,0.32,0.64,0.01
553,0.01,0.01,0.01
581,0.42,0.76,0.01
432,0.92,0.99,0.01
555,0.99,0.26,0.01
564,0.28,0.99,0.01
480,0.6,0.56,0.01
623,0.01,0.01,0.01
676,0.01,0.01,0.01
649,0.3,0.99,0.01
650,0.01,0.01,0.99
693,0.01,0.01,0.01
570,0.01,0.01,0.01
681,0.01,0.01,0.01
653,0.01,0.01,0.01
639,0.01,0.01,0.01
708,0.14,0.4,0.01
642,0.01,0.01,0.01
594,0.99,0.99,0.01
721,0.46,0.99,0.01
736,0.36,0.64,0.99
585,0.99,0.99,0.01
668,0.01,0.01,0.01
628,0.99,0.99,0.01
598,0.99,0.9,0.01
670,0.01,0.01,0.01
671,0.01,0.01,0.01
752,0.28,0.38,0.01
756,0.4,0.24,0.99
711,0.99,0.99,0.01
686,0.68,0.99,0.01
659,0.64,0.64,0.01
704,0.68,0.1,0.01
723,0.01,0.01,0.01
714,0.54,0.99,0.01
724,0.14,0.14,0.01
788,0.44,0.99,0.01
717,0.01,0.01,0.01
816,0.01,0.01,0.01
842,0.82,0.64,0.01
843,0.99,0.99,0.01
832,0.99,0.99,0.01
859,0.01,0.01,0.01
848,0.24,0.99,0.01
849,0.78,0.24,0.01
862,0.01,0.01,0.01
875,0.99,0.62,0.01
840,0.62,0.64,0.99
864,0.99,0.99,0.01
852,0.52,0.99,0.01
878,0.28,0.86,0.01
853,0.01,0.01,0.01
854,0.78,0.99,0.01
891,0.99,0.99,0.01
744,0.82,0.4,0.01
734,0.98,0.82,0.01
746,0.99,0.99,0.99
938,0.01,0.01,0.01
747,0.01,0.01,0.01
749,0.01,0.99,0.01
895,0.01,0.22,0.01
928,0.01,0.01,0.01
905,0.46,0.01,0.99
1027,0.01,0.01,0.01
1084,0.7,0.86,0.01
1058,0.01,0.01,0.01
1071,0.01,0.01,0.01
1085,0.01,0.99,0.99
1072,0.22,0.99,0.01
1045,0.01,0.01,0.01
1096,0.74,0.22,0.01
1047,0.99,0.99,0.01
1114,0.6,0.54,0.01
1102,0.99,0.98,0.01
1159,0.99,0.01,0.01
1103,0.58,0.28,0.01
1202,0.99,0.99,0.01
1143,0.01,0.01,0.01
1079,0.99,0.7,0.01
1145,0.99,0.99,0.01
1189,0.99,0.99,0.01
1119,0.88,0.99,0.01
1093,0.99,0.34,0.01
1147,0.28,0.64,0.01
1190,0.18,0.99,0.01
1132,0.01,0.01,0.01
1193,0.01,0.01,0.01
1150,0.99,0.66,0.99
1252,0.01,0.01,0.01
1153,0.99,0.68,0.01
1222,0.01,0.01,0.01
1323,0.01,0.01,0.01
1325,0.46,0.99,0.01
1326,0.8,0.4,0.99
1240,0.2,0.44,0.01
1198,0.66,0.92,0.01
1317,0.8,0.6,0.01
1390,0.01,0.01,0.01
1441,0.99,0.01,0.01
1392,0.99,0.99,0.01
1298,0.01,0.01,0.01
1319,0.5,0.68,0.01
1288,0.99,0.99,0.01
1472,0.01,0.01,0.01
1330,0.52,0.46,0.01
1473,0.01,0.01,0.01
1448,0.5,0.78,0.01
1449,0.01,0.01,0.01
1332,0.22,0.18,0.01
1333,0.66,0.99,0.01
1491,0.99,0.99,0.01
1399,0.99,0.94,0.01
1458,0.36,0.99,0.01
1275,0.38,0.48,0.01
1451,0.72,0.6,0.01
1335,0.58,0.9,0.01
1412,0.42,0.48,0.01
1516,0.99,0.99,0.99
1503,0.01,0.01,0.01
1480,0.16,0.28,0.01
1415,0.01,0.01,0.01
1416,0.99,0.01,0.01
1510,0.86,0.38,0.01
1562,0.34,0.01,0.01
1563,0.86,0.84,0.01
1407,0.48,0.62,0.01
1523,0.01,0.01,0.01
1419,0.72,0.99,0.01
1524,0.99,0.99,0.01
1431,0.42,0.01,0.01
1432,0.01,0.01,0.01
1301,0.01,0.01,0.01
1609,0.32,0.54,0.01
1543,0.99,0.99,0.01
1610,0.06,0.84,0.01
1439,0.99,0.99,0.01
1636,0.96,0.94,0.01
1622,0.01,0.01,0.01
1637,0.01,0.01,0.01
1424,0.01,0.01,0.01
1530,0.01,0.01,0.01
1627,0.01,0.99,0.01
1628,0.01,0.01,0.01
1699,0.01,0.64,0.01
1718,0.01,0.01,0.01
1720,0.94,0.99,0.01
