Node_ID,Music,Movies,Politics
5,0.5,0.984,0.01
33,0.75,0.969,0.5
9,0.01,0.01,0.01
21,0.5,0.984,0.01
34,0.5,0.5,0.01
23,0.1,0.5,0.01
61,0.01,0.01,0.01
13,0.01,0.01,0.01
37,0.875,0.938,0.01
62,0.938,0.99,0.01
63,0.01,0.01,0.01
76,0.75,0.07,0.01
51,0.75,0.984,0.01
27,0.875,0.99,0.01
64,0.28,0.875,0.01
52,0.5,0.984,0.01
65,0.01,0.01,0.01
77,0.01,0.01,0.01
53,0.75,0.969,0.01
66,0.01,0.01,0.01
78,0.75,0.99,0.01
91,0.01,0.01,0.01
67,0.38,0.984,0.01
79,0.969,0.969,0.01
92,0.5,0.938,0.01
68,0.01,0.01,0.01
80,0.01,0.875,0.01
93,0.938,0.99,0.01
106,0.5,0.99,0.01
94,0.01,0.01,0.01
95,0.01,0.01,0.01
81,0.01,0.01,0.01
96,0.5,0.969,0.01
107,0.5,0.875,0.01
82,0.75,0.01,0.01
97,0.01,0.01,0.01
83,0.37,0.5,0.01
108,0.01,0.01,0.01
98,0.5,0.875,0.01
84,0.28,0.875,0.01
122,0.01,0.01,0.01
109,0.01,0.01,0.01
99,0.75,0.984,0.01
85,0.01,0.01,0.01
123,0.01,0.01,0.01
136,0.984,0.99,0.01
110,0.01,0.01,0.01
86,0.01,0.01,0.01
111,0.984,0.984,0.01
100,0.5,0.969,0.01
124,0.938,0.969,0.5
137,0.99,0.99,0.01
87,0.01,0.01,0.01
125,0.01,0.01,0.01
112,0.75,0.938,0.01
138,0.5,0.969,0.01
88,0.01,0.01,0.01
126,0.01,0.01,0.01
101,0.28,0.3,0.5
166,0.01,0.01,0.01
113,0.05,0.75,0.01
139,0.5,0.984,0.01
127,0.5,0.4,0.01
167,0.01,0.01,0.5
128,0.01,0.01,0.01
102,0.01,0.01,0.01
89,0.938,0.03,0.01
129,0.5,0.938,0.01
54,0.875,0.99,0.5
181,0.01,0.969,0.01
90,0.01,0.01,0.5
168,0.01,0.01,0.01
140,0.5,0.5,0.01
114,0.01,0.01,0.01
182,0.938,0.969,0.01
130,0.875,0.875,0.01
169,0.01,0.01,0.01
141,0.5,0.969,0.01
196,0.01,0.75,0.01
170,0.01,0.01,0.01
183,0.75,0.99,0.01
131,0.875,0.75,0.01
171,0.01,0.01,0.01
55,0.875,0.969,0.01
142,0.01,0.984,0.01
172,0.75,0.938,0.01
115,0.875,0.938,0.01
56,0.5,0.99,0.01
143,0.969,0.01,0.01
173,0.01,0.01,0.01
116,0.938,0.969,0.01
69,0.01,0.01,0.01
57,0.875,0.01,0.01
174,0.01,0.01,0.01
144,0.5,0.969,0.01
105,0.938,0.969,0.01
70,0.75,0.5,0.01
175,0.01,0.01,0.01
117,0.01,0.01,0.01
58,0.05,0.01,0.01
211,0.01,0.01,0.01
118,0.01,0.01,0.01
176,0.01,0.01,0.01
71,0.938,0.875,0.01
145,0.99,0.99,0.01
59,0.875,0.99,0.01
119,0.01,0.01,0.01
212,0.01,0.01,0.01
177,0.75,0.99,0.01
72,0.14,0.99,0.01
146,0.01,0.01,0.01
120,0.01,0.01,0.01
213,0.875,0.99,0.01
147,0.01,0.01,0.01
178,0.5,0.01,0.01
226,0.01,0.01,0.01
73,0.01,0.01,0.01
214,0.01,0.01,0.01
60,0.01,0.01,0.01
148,0.01,0.01,0.01
227,0.01,0.01,0.01
215,0.01,0.01,0.01
74,0.5,0.99,0.01
179,0.875,0.984,0.01
241,0.75,0.984,0.01
149,0.01,0.01,0.01
228,0.01,0.01,0.01
216,0.75,0.05,0.01
75,0.875,0.938,0.01
180,0.03,0.99,0.01
150,0.01,0.01,0.01
242,0.01,0.01,0.01
217,0.22,0.43,0.01
229,0.5,0.01,0.01
243,0.5,0.938,0.5
256,0.875,0.99,0.01
271,0.01,0.01,0.01
286,0.875,0.969,0.01
218,0.75,0.99,0.01
230,0.5,0.01,0.01
272,0.75,0.938,0.01
152,0.01,0.01,0.01
244,0.1,0.15,0.01
257,0.5,0.01,0.01
287,0.01,0.01,0.01
219,0.5,0.938,0.01
273,0.5,0.984,0.01
288,0.984,0.984,0.01
258,0.875,0.969,0.01
245,0.938,0.99,0.01
220,0.984,0.5,0.01
274,0.75,0.99,0.01
246,0.5,0.984,0.01
259,0.5,0.938,0.01
221,0.75,0.969,0.01
155,0.09,0.01,0.01
275,0.01,0.99,0.01
247,0.75,0.08,0.01
222,0.75,0.969,0.01
276,0.5,0.75,0.01
260,0.75,0.969,0.01
248,0.875,0.22,0.01
277,0.5,0.984,0.01
223,0.938,0.984,0.01
249,0.938,0.5,0.01
278,0.01,0.01,0.01
224,0.969,0.99,0.01
261,0.01,0.984,0.01
279,0.5,0.969,0.01
262,0.01,0.01,0.01
225,0.5,0.5,0.01
263,0.938,0.99,0.01
280,0.01,0.01,0.01
197,0.75,0.938,0.01
184,0.01,0.01,0.01
301,0.01,0.01,0.01
281,0.01,0.01,0.01
264,0.875,0.969,0.01
185,0.01,0.938,0.01
282,0.27,0.938,0.01
302,0.5,0.75,0.01
265,0.01,0.42,0.01
186,0.01,0.01,0.01
283,0.05,0.938,0.01
198,0.75,0.01,0.01
303,0.01,0.01,0.01
304,0.27,0.23,0.01
199,0.01,0.01,0.01
266,0.75,0.75,0.01
284,0.75,0.969,0.01
188,0.01,0.01,0.01
200,0.07,0.27,0.01
267,0.938,0.984,0.01
305,0.5,0.01,0.01
133,0.938,0.75,0.01
201,0.01,0.01,0.01
268,0.5,0.99,0.01
189,0.01,0.01,0.01
134,0.75,0.969,0.01
202,0.875,0.99,0.01
269,0.05,0.75,0.01
135,0.01,0.01,0.01
203,0.01,0.01,0.01
270,0.5,0.984,0.01
204,0.875,0.938,0.01
316,0.01,0.01,0.01
331,0.5,0.938,0.01
190,0.5,0.99,0.01
205,0.5,0.938,0.01
317,0.01,0.01,0.01
332,0.5,0.969,0.01
191,0.5,0.875,0.01
318,0.875,0.99,0.01
206,0.27,0.984,0.01
333,0.01,0.875,0.01
207,0.938,0.984,0.01
334,0.01,0.969,0.01
192,0.75,0.42,0.01
208,0.75,0.875,0.01
319,0.938,0.938,0.01
335,0.01,0.01,0.01
193,0.01,0.01,0.01
336,0.875,0.99,0.01
209,0.5,0.99,0.01
320,0.01,0.01,0.01
194,0.01,0.01,0.01
321,0.75,0.5,0.01
195,0.14,0.17,0.01
337,0.01,0.01,0.01
322,0.01,0.01,0.01
289,0.938,0.938,0.01
231,0.75,0.969,0.01
346,0.01,0.01,0.01
323,0.938,0.99,0.01
338,0.01,0.01,0.01
347,0.938,0.99,0.01
290,0.01,0.01,0.01
324,0.01,0.01,0.01
232,0.5,0.32,0.01
339,0.28,0.99,0.01
291,0.01,0.01,0.01
325,0.938,0.969,0.01
292,0.75,0.984,0.01
340,0.5,0.5,0.01
234,0.01,0.01,0.01
250,0.938,0.875,0.01
156,0.01,0.01,0.01
326,0.938,0.99,0.01
235,0.39,0.5,0.01
341,0.2,0.938,0.01
293,0.01,0.01,0.01
327,0.875,0.75,0.01
342,0.01,0.01,0.01
294,0.938,0.984,0.01
236,0.984,0.01,0.01
157,0.01,0.01,0.01
328,0.01,0.01,0.01
343,0.984,0.99,0.01
237,0.01,0.01,0.01
329,0.5,0.875,0.01
295,0.01,0.01,0.01
158,0.938,0.99,0.01
238,0.875,0.938,0.01
344,0.14,0.01,0.01
330,0.969,0.99,0.01
297,0.875,0.99,0.01
345,0.875,0.984,0.01
239,0.01,0.01,0.01
159,0.75,0.984,0.01
361,0.01,0.01,0.01
240,0.01,0.01,0.01
376,0.01,0.01,0.01
285,0.969,0.01,0.01
362,0.01,0.01,0.01
160,0.01,0.18,0.01
391,0.01,0.01,0.01
349,0.01,0.01,0.01
406,0.01,0.01,0.01
300,0.875,0.969,0.01
378,0.99,0.99,0.01
392,0.38,0.938,0.01
407,0.5,0.875,0.01
350,0.938,0.984,0.01
161,0.01,0.938,0.01
421,0.01,0.01,0.01
393,0.01,0.01,0.01
408,0.938,0.5,0.01
162,0.875,0.969,0.5
351,0.01,0.01,0.01
380,0.01,0.01,0.01
422,0.5,0.01,0.01
394,0.01,0.01,0.01
306,0.75,0.99,0.01
352,0.938,0.99,0.01
381,0.75,0.17,0.01
423,0.18,0.25,0.01
163,0.01,0.01,0.01
395,0.39,0.75,0.01
409,0.01,0.01,0.01
307,0.37,0.12,0.01
353,0.01,0.938,0.01
164,0.5,0.984,0.01
396,0.5,0.99,0.01
410,0.01,0.01,0.01
165,0.875,0.99,0.01
308,0.01,0.01,0.01
354,0.938,0.01,0.01
411,0.75,0.99,0.01
